Date,EmpID,Expenses Type, Bank , Cash 
07/01/2023,1002,Overtime,,30
07/01/2023,0,Purchases,,200
07/01/2023,0,General Expenses,,5
08/01/2023,1001,Comission,,40
08/01/2023,1002,Comission,,30
08/01/2023,1003,Comission,,30
08/01/2023,1006,Comission,,10
08/01/2023,1010,Comission,,25
08/01/2023,1009,Comission,,25
08/01/2023,1011,Comission,,30
08/01/2023,1012,Comission,,35
08/01/2023,1001,Overtime,,10
08/01/2023,0,General Expenses,,6
08/01/2023,0,General Expenses,,10
08/01/2023,1001,Overtime,,65
09/01/2023,1001,Comission,,5
09/01/2023,1002,Comission,,10
09/01/2023,1003,Comission,, -   
09/01/2023,1012,Comission,,30
09/01/2023,1011,Comission,,15
09/01/2023,1009,Comission,,15
09/01/2023,1010,Comission,,15
09/01/2023,1013,Comission,,10
09/01/2023,1001,Overtime,,10
09/01/2023,1009,Overtime,,10
09/01/2023,0,General Expenses,,10
10/01/2023,1017,Salary,,300
10/01/2023,1001,Salary,,300
10/01/2023,1001,Comission,,20
10/01/2023,1002,Comission,,30
10/01/2023,1003,Comission,,15
10/01/2023,1012,Comission,,25
10/01/2023,1011,Comission,,25
10/01/2023,1009,Comission,,15
10/01/2023,1010,Comission,,15
10/01/2023,1013,Comission,,25
10/01/2023,1001,Overtime,,20
10/01/2023,1013,Overtime,,10
10/01/2023,0,General Expenses,,10
10/01/2023,1012,Overtime,,65
11/01/2023,1016,Salary,"2,000.00",200
11/01/2023,0,Salary,"1,000.00",500
11/01/2023,1001,Salary,"1,200.00",650
11/01/2023,1008,Salary,"2,500.00",
11/01/2023,1002,Salary,,"2,130.00"
11/01/2023,1003,Salary,,"2,000.00"
11/01/2023,1009,Salary,,"1,380.00"
11/01/2023,1013,Salary,,"1,500.00"
11/01/2023,1012,Salary,,"2,000.00"
11/01/2023,1011,Salary,,"2,000.00"
11/01/2023,0,Salary,"1,000.00",
11/01/2023,1001,Comission,,30
11/01/2023,1002,Comission,,50
11/01/2023,1003,Comission,,15
11/01/2023,1012,Comission,,15
11/01/2023,1011,Comission,,15
11/01/2023,1009,Comission,,15
11/01/2023,1013,Comission,,20
11/01/2023,1001,Overtime,,20
11/01/2023,0,General Expenses,,10
11/01/2023,1013,Overtime,,65
11/01/2023,0,General Expenses,,100
11/01/2023,0,Purchases,,810
12/01/2023,1001,Comission,,30
12/01/2023,1003,Comission,, -   
12/01/2023,1012,Comission,,25
12/01/2023,1013,Comission,,20
12/01/2023,1014,Comission,,25
12/01/2023,1015,Comission,,20
12/01/2023,1001,Overtime,,20
12/01/2023,1012,Overtime,,10
12/01/2023,1013,Overtime,,20
12/01/2023,1014,Overtime,,10
12/01/2023,1015,Overtime,,20
12/01/2023,0,General Expenses,,10
13/01/2023,1001,Comission,,45
13/01/2023,1003,Comission,,25
13/01/2023,1015,Comission,,40
13/01/2023,1013,Comission,,35
13/01/2023,1014,Comission,,35
13/01/2023,1001,Overtime,,30
13/01/2023,1015,Overtime,,10
13/01/2023,0,General Expenses,,10
13/01/2023,0,General Expenses,,15
14/01/2023,1001,Comission,,30
14/01/2023,1003,Comission,,20
14/01/2023,1015,Comission,,30
14/01/2023,1013,Comission,,35
14/01/2023,1014,Comission,,25
14/01/2023,1001,Overtime,,20
14/01/2023,1013,Overtime,,10
14/01/2023,0,General Expenses,,10
14/01/2023,0,General Expenses,,6
14/01/2023,1014,Overtime,,65
15/01/2023,1001,Comission,,25
15/01/2023,1003,Comission,,25
15/01/2023,1015,Comission,,35
15/01/2023,1013,Comission,,40
15/01/2023,1014,Comission,,30
15/01/2023,1001,Overtime,,20
15/01/2023,1013,Overtime,,10
15/01/2023,0,General Expenses,,10
15/01/2023,0,Operation Expenses,,100
15/01/2023,0,Purchases,,"1,157.00"
16/01/2023,1001,Comission,,25
16/01/2023,1003,Comission,,25
16/01/2023,1015,Comission,,25
16/01/2023,1013,Comission,,35
16/01/2023,1014,Comission,,30
16/01/2023,0,General Expenses,,10
16/01/2023,1001,Overtime,,65
16/01/2023,0,Purchases,,80
16/01/2023,0,Operation Expenses,,10
17/01/2023,1001,Comission,,45
17/01/2023,1003,Comission,, -   
17/01/2023,1015,Comission,,40
17/01/2023,1013,Comission,,35
17/01/2023,1014,Comission,, -   
17/01/2023,1001,Overtime,,30
17/01/2023,1015,Overtime,,10
17/01/2023,0,General Expenses,,10
17/01/2023,1013,Overtime,,65
18/01/2023,1001,Comission,,15
18/01/2023,1003,Comission,,15
18/01/2023,1015,Comission,, -   
18/01/2023,1013,Comission,,10
18/01/2023,1014,Comission,,10
18/01/2023,1001,Overtime,,20
18/01/2023,0,General Expenses,,10
18/01/2023,0,Purchases,,115
19/01/2023,1001,Comission,,30
19/01/2023,1003,Comission,, -   
19/01/2023,1015,Comission,,40
19/01/2023,1013,Comission,,30
19/01/2023,1014,Comission,,40
19/01/2023,1001,Overtime,,20
19/01/2023,1015,Overtime,,20
19/01/2023,1013,Overtime,,20
19/01/2023,0,General Expenses,,10
19/01/2023,0,Salary,"9,323.00",
19/01/2023,0,Comission,,600
19/01/2023,0,General Expenses,772,
01/02/2023,1001,Comission,,30
01/02/2023,1003,Comission,,20
01/02/2023,1015,Comission,,35
01/02/2023,1013,Comission,,40
01/02/2023,1014,Comission,,35
01/02/2023,1001,Overtime,,10
01/02/2023,1015,Overtime,,10
01/02/2023,0,General Expenses,,10
01/02/2023,1001,Overtime,,65
01/02/2023,0,General Expenses,,100
01/02/2023,0,Purchases,,855
04/02/2023,1001,Comission,,35
04/02/2023,1002,Comission,,50
04/02/2023,1003,Comission,,30
04/02/2023,0,General Expenses,,14
04/02/2023,1001,Overtime,,10
04/02/2023,1008,Overtime,,20
05/02/2023,1001,Comission,,20
05/02/2023,1002,Comission,,20
05/02/2023,1003,Comission,,20
05/02/2023,1006,Comission,,15
05/02/2023,0,General Expenses,,10
06/02/2023,0,Bank Fees,11.59,
06/02/2023,0,Bank Fees,1.76,
06/02/2023,0,Bank Fees,3.5,
06/02/2023,0,Bank Fees,0.53,
06/02/2023,1001,Comission,,30
06/02/2023,1002,Comission,,40
06/02/2023,1003,Comission,,45
06/02/2023,1006,Comission,,60
06/02/2023,1001,Overtime,,10
06/02/2023,1003,Overtime,,75
06/02/2023,1008,Overtime,,20
06/02/2023,0,General Expenses,,10
07/02/2023,0,Salary,,400
07/02/2023,0,Bank Fees,10.61,
07/02/2023,0,Bank Fees,1.6,
07/02/2023,0,Bank Fees,5.76,
07/02/2023,0,Bank Fees,0.86,
07/02/2023,1001,Comission,,50
07/02/2023,1003,Comission,,40
07/02/2023,1006,Comission,,40
07/02/2023,1002,Comission,,70
07/02/2023,1010,Comission,,25
07/02/2023,1009,Comission,,25
07/02/2023,1001,Overtime,,20
07/02/2023,1003,Overtime,,10
07/02/2023,1006,Overtime,,10
07/02/2023,1002,Overtime,,30
07/02/2023,0,General Expenses,,20
08/02/2023,1001,Comission,,10
08/02/2023,1002,Comission,,30
08/02/2023,1003,Comission,,15
08/02/2023,1012,Comission,,10
08/02/2023,1010,Comission,,20
08/02/2023,1009,Comission,,15
08/02/2023,1011,Comission,,20
08/02/2023,1001,Overtime,,20
08/02/2023,1002,Overtime,,30
08/02/2023,0,General Expenses,,10
09/02/2023,1001,Salary,,300
09/02/2023,0,Salary,,500
09/02/2023,0,Bank Fees,,
09/02/2023,0,Bank Fees,,16.1
09/02/2023,1008,Salary,,"2,000.00"
09/02/2023,1016,Salary,,"2,000.00"
09/02/2023,0,Salary,,"1,000.00"
09/02/2023,1001,Salary,,"1,200.00"
09/02/2023,1008,Operation Expenses,,"1,050.00"
09/02/2023,0,Operation Expenses,,650
09/02/2023,1001,Comission,,20
09/02/2023,1002,Comission,,40
09/02/2023,1003,Comission,,20
09/02/2023,1012,Comission,,25
09/02/2023,1011,Comission,,20
09/02/2023,1009,Comission,,20
09/02/2023,1010,Comission,,25
09/02/2023,1013,Comission,,25
09/02/2023,1001,Overtime,,20
09/02/2023,1010,Overtime,,10
09/02/2023,0,General Expenses,,10
09/02/2023,1011,Overtime,,130
09/02/2023,1012,Overtime,,130
09/02/2023,0,General Expenses,,10
09/02/2023,1009,Overtime,,60
09/02/2023,1010,Overtime,,60
10/02/2023,1001,Comission,,40
10/02/2023,1002,Comission,,40
10/02/2023,1003,Comission,,20
10/02/2023,1012,Comission,,25
10/02/2023,1011,Comission,,30
10/02/2023,1009,Comission,,25
10/02/2023,1010,Comission,,30
10/02/2023,1013,Comission,,25
10/02/2023,1001,Overtime,,20
10/02/2023,0,General Expenses,,10
10/02/2023,0,General Expenses,,6
11/02/2023,1001,Comission,,10
11/02/2023,1002,Comission,, -   
11/02/2023,1003,Comission,,5
11/02/2023,1012,Comission,,25
11/02/2023,1011,Comission,,20
11/02/2023,1013,Comission,,25
11/02/2023,1001,Overtime,,20
11/02/2023,0,General Expenses,,10
12/02/2023,1001,Comission,,15
12/02/2023,1003,Comission,,5
12/02/2023,1012,Comission,,40
12/02/2023,1013,Comission,,35
12/02/2023,1014,Comission,, -   
12/02/2023,1015,Comission,,30
12/02/2023,1001,Overtime,,20
12/02/2023,0,General Expenses,,10
12/02/2023,0,General Expenses,,6
01/03/2023,1001,Comission,,25
01/03/2023,1003,Comission,,25
01/03/2023,1015,Comission,,40
01/03/2023,1013,Comission,,35
01/03/2023,1014,Comission,,40
01/03/2023,1001,Overtime,,20
01/03/2023,1015,Overtime,,20
01/03/2023,0,General Expenses,,10
01/03/2023,1013,Overtime,,65
04/03/2023,1001,Comission,,40
04/03/2023,1002,Comission,,30
04/03/2023,1003,Comission,,20
04/03/2023,1001,Overtime,,20
04/03/2023,1003,Overtime,,10
04/03/2023,1008,Overtime,,20
04/03/2023,0,General Expenses,,10
04/03/2023,0,Operation Expenses,,150
04/03/2023,0,Bank Fees,,
05/03/2023,0,Salary,600,
05/03/2023,1001,Comission,,30
05/03/2023,1002,Comission,,50
05/03/2023,1003,Comission,,25
05/03/2023,1006,Comission,,25
05/03/2023,0,General Expenses,,10
05/03/2023,1001,Overtime,,20
05/03/2023,1002,Overtime,,10
05/03/2023,1003,Overtime,,20
05/03/2023,1006,Overtime,,20
05/03/2023,1008,Overtime,,20
05/03/2023,0,General Expenses,,10
05/03/2023,0,Bank Fees,16.04,
05/03/2023,0,Bank Fees,2.41,
06/03/2023,0,Bank Fees,13.97,
06/03/2023,0,Bank Fees,2.12,
06/03/2023,1001,Comission,,55
06/03/2023,1003,Comission,,5
06/03/2023,1006,Comission,, -   
06/03/2023,1002,Comission,,60
06/03/2023,1009,Comission,,50
06/03/2023,1010,Comission,,30
06/03/2023,1001,Overtime,,60
06/03/2023,0,General Expenses,,10
07/03/2023,0,Salary,"1,000.00",
07/03/2023,0,GOSI,64,
07/03/2023,0,General Expenses,287.5,
07/03/2023,0,Operation Expenses,203.08,
07/03/2023,0,Bank Fees,15.02,
07/03/2023,0,Bank Fees,2.28,
07/03/2023,1001,Comission,,35
07/03/2023,1002,Comission,,60
07/03/2023,1003,Comission,,30
07/03/2023,1006,Comission,,40
07/03/2023,1010,Comission,,25
07/03/2023,1009,Comission,,20
07/03/2023,1001,Overtime,,40
07/03/2023,1002,Overtime,,30
07/03/2023,1003,Overtime,,10
07/03/2023,0,General Expenses,,25
07/03/2023,1010,Overtime,,60
07/03/2023,1009,Overtime,,60
08/03/2023,0,Operation Expenses,750,
08/03/2023,1001,Comission,,40
08/03/2023,1002,Comission,,10
08/03/2023,1003,Comission,,20
08/03/2023,1012,Comission,,20
08/03/2023,1010,Comission,,25
08/03/2023,1009,Comission,,30
08/03/2023,1011,Comission,,25
08/03/2023,1001,Overtime,,40
08/03/2023,1002,Overtime,,15
08/03/2023,1009,Overtime,,10
08/03/2023,1002,Overtime,,35
08/03/2023,0,General Expenses,,10
08/03/2023,0,General Expenses,"2,500.00",
09/03/2023,1013,Salary,,100
09/03/2023,1002,Salary,,"1,000.00"
09/03/2023,0,Salary,"1,000.00",
09/03/2023,1001,Comission,,20
09/03/2023,1002,Comission,,25
09/03/2023,1003,Comission,,15
09/03/2023,1012,Comission,,35
09/03/2023,1011,Comission,,30
09/03/2023,1009,Comission,,25
09/03/2023,1010,Comission,,30
09/03/2023,1013,Comission,,30
09/03/2023,1001,Overtime,,20
09/03/2023,1016,Overtime,,10
09/03/2023,0,General Expenses,,10
09/03/2023,0,General Expenses,287.5,
09/03/2023,0,Operation Expenses,854.23,
09/03/2023,0,Operation Expenses,311.43,
10/03/2023,1012,Salary,"2,000.00",
10/03/2023,1011,Salary,"2,000.00",
10/03/2023,1010,Salary,"1,000.00",
10/03/2023,1001,Comission,, -   
10/03/2023,1002,Comission,,40
10/03/2023,1003,Comission,,15
10/03/2023,1012,Comission,,25
10/03/2023,1011,Comission,,35
10/03/2023,1009,Comission,,25
10/03/2023,1010,Comission,,20
10/03/2023,1013,Comission,,25
10/03/2023,0,General Expenses,,10
11/03/2023,1001,Comission,,20
11/03/2023,1002,Comission,,40
11/03/2023,1003,Comission,, -   
11/03/2023,1012,Comission,,35
11/03/2023,1011,Comission,,35
11/03/2023,1013,Comission,,30
11/03/2023,1001,Overtime,,20
11/03/2023,0,General Expenses,,10
12/03/2023,0,Salary,"1,000.00",
12/03/2023,1001,Comission,,15
12/03/2023,1003,Comission,,15
12/03/2023,1012,Comission,,20
12/03/2023,1013,Comission,,30
12/03/2023,1014,Comission,,15
12/03/2023,1015,Comission,,15
12/03/2023,1001,Overtime,,20
12/03/2023,0,General Expenses,,10
12/03/2023,1012,Overtime,,65
12/03/2023,0,Operation Expenses,,210
13/03/2023,1001,Comission,,5
13/03/2023,1002,Comission,,30
13/03/2023,1003,Comission,,20
13/03/2023,0,Bank Fees,,
14/03/2023,1001,Comission,,20
14/03/2023,1002,Comission,,30
14/03/2023,1003,Comission,,20
14/03/2023,1001,Overtime,,65
14/03/2023,1003,Overtime,,65
15/03/2023,1001,Comission,,20
15/03/2023,1002,Comission,,40
15/03/2023,1003,Comission,,20
15/03/2023,1001,Overtime,,10
15/03/2023,1002,Overtime,,10
15/03/2023,0,General Expenses,,14
15/03/2023,0,Bank Fees,,
16/03/2023,0,Purchases,400,
16/03/2023,1001,Comission,,20
16/03/2023,1002,Comission,,40
16/03/2023,1003,Comission,,20
16/03/2023,0,Bank Fees,,
17/03/2023,1001,Comission,,20
17/03/2023,1002,Comission,,30
17/03/2023,1003,Comission,,25
17/03/2023,1001,Overtime,,15
17/03/2023,1002,Overtime,,10
17/03/2023,1003,Overtime,,10
17/03/2023,0,Subscribtion,460,
17/03/2023,1001,Overtime,,10
17/03/2023,0,Bank Fees,,
17/03/2023,0,Bank Fees,,
18/03/2023,0,Operation Expenses,700,
18/03/2023,1001,Comission,,20
18/03/2023,1002,Comission,,30
18/03/2023,1003,Comission,,20
18/03/2023,0,Bank Fees,,
19/03/2023,1001,Comission,,25
19/03/2023,1002,Comission,,35
19/03/2023,1003,Comission,,25
19/03/2023,0,General Expenses,,14
20/03/2023,1001,Comission,,20
20/03/2023,1002,Comission,,20
20/03/2023,1003,Comission,,15
20/03/2023,1001,Overtime,,10
20/03/2023,1002,Salary,,350
21/03/2023,1001,Comission,,20
21/03/2023,1002,Comission,,30
21/03/2023,1003,Comission,,20
21/03/2023,1001,Overtime,,73
21/03/2023,1002,Overtime,,65
21/03/2023,1003,Overtime,,65
22/03/2023,1001,Comission,,20
22/03/2023,1002,Comission,,20
22/03/2023,1003,Comission,,5
23/03/2023,1001,Comission,,15
23/03/2023,1002,Comission,,20
23/03/2023,1003,Comission,,10
24/03/2023,1001,Comission,,35
24/03/2023,1003,Comission,,30
25/03/2023,0,General Expenses,400.89,
25/03/2023,0,Bank Fees,,
25/03/2023,1001,Comission,,20
25/03/2023,1002,Comission,,25
25/03/2023,1003,Comission,,25
25/03/2023,1001,Overtime,,10
25/03/2023,1003,Overtime,,10
26/03/2023,0,Bank Fees,,
26/03/2023,1001,Comission,,40
26/03/2023,1002,Comission,,45
26/03/2023,1003,Comission,,35
26/03/2023,1001,Overtime,,10
26/03/2023,1003,Overtime,,10
26/03/2023,1002,Overtime,,10
27/03/2023,0,Bank Fees,,
27/03/2023,1001,Comission,,45
27/03/2023,1002,Comission,,60
27/03/2023,1003,Comission,,40
27/03/2023,1001,Overtime,,10
27/03/2023,1003,Overtime,,15
27/03/2023,1002,Overtime,,10
27/03/2023,0,General Expenses,,20
28/03/2023,1001,Overtime,,10
28/03/2023,1003,Overtime,,10
28/03/2023,1002,Overtime,,10
28/03/2023,1001,Comission,,45
28/03/2023,1002,Comission,,65
28/03/2023,1003,Comission,,35
28/03/2023,0,General Expenses,,30
29/03/2023,1001,Target,,50
29/03/2023,1001,Comission,,45
29/03/2023,1002,Comission,,60
29/03/2023,0,General Expenses,,20
29/03/2023,1001,Overtime,,65
29/03/2023,1001,Target,,50
29/03/2023,1002,Target,,50
30/03/2023,1001,Salary,"1,500.00",500
30/03/2023,1002,Salary,"1,600.00",250
30/03/2023,1003,Salary,"1,470.00",
30/03/2023,1008,Salary,165,"1,835.00"
30/03/2023,1001,Comission,,25
30/03/2023,1002,Comission,,30
30/03/2023,1003,Comission,,25
30/03/2023,1006,Comission,,35
30/03/2023,1007,Comission,,30
30/03/2023,1001,Overtime,,10
30/03/2023,1003,Overtime,,10
30/03/2023,1008,Overtime,,10
30/03/2023,0,General Expenses,,10
30/03/2023,0,General Expenses,,58
30/03/2023,0,Bank Fees,22.15,
30/03/2023,0,Bank Fees,3.33,
30/03/2023,0,Bank Fees,3,
30/03/2023,0,Bank Fees,0.45,
01/04/2023,1001,Comission,,30
01/04/2023,1003,Comission,,20
01/04/2023,1015,Comission,,30
01/04/2023,1013,Comission,,35
01/04/2023,1014,Comission,,20
01/04/2023,1001,Overtime,,20
01/04/2023,1015,Overtime,,10
01/04/2023,1013,Overtime,,20
01/04/2023,0,General Expenses,,10
01/04/2023,1015,Overtime,,65
01/04/2023,0,General Expenses,,6
04/04/2023,1001,Comission,,35
04/04/2023,1003,Comission,,35
04/04/2023,1001,Overtime,,10
04/04/2023,1008,Overtime,,10
04/04/2023,0,General Expenses,,10
05/04/2023,1008,Salary,"2,000.00",
05/04/2023,1003,Salary,"1,950.00",
05/04/2023,1002,Salary,"2,000.00",
05/04/2023,1006,Salary,"1,000.00",
05/04/2023,0,Bank Fees,6.94,
05/04/2023,0,Bank Fees,1.05,
05/04/2023,1001,Comission,, -   
05/04/2023,1002,Comission,,50
05/04/2023,1003,Comission,,45
05/04/2023,1006,Comission,,30
05/04/2023,1001,Overtime,,80
05/04/2023,1003,Overtime,,10
05/04/2023,1008,Overtime,,20
05/04/2023,0,General Expenses,,100
06/04/2023,0,Bank Fees,14.12,
06/04/2023,0,Bank Fees,2.14,
06/04/2023,0,Bank Fees,6.25,
06/04/2023,0,Bank Fees,0.94,
06/04/2023,1001,Comission,,30
06/04/2023,1003,Comission,,15
06/04/2023,1006,Comission,, -   
06/04/2023,1002,Comission,,40
06/04/2023,1010,Comission,,20
06/04/2023,1001,Overtime,,10
06/04/2023,0,General Expenses,,10
06/04/2023,0,General Expenses,,6
07/04/2023,0,Bank Fees,19.69,
07/04/2023,0,Bank Fees,2.96,
07/04/2023,0,Bank Fees,7.25,
07/04/2023,0,Bank Fees,1.09,
07/04/2023,0,Bank Fees,11,
07/04/2023,0,Bank Fees,1.65,
07/04/2023,0,General Expenses,"3,000.00",
07/04/2023,1001,Comission,,20
07/04/2023,1002,Comission,,35
07/04/2023,1003,Comission,,15
07/04/2023,1006,Comission,,25
07/04/2023,1010,Comission,,10
07/04/2023,1009,Comission,, -   
08/04/2023,0,General Expenses,287.5,
08/04/2023,0,Subscribtion,258.15,
08/04/2023,1001,Comission,,30
08/04/2023,1002,Comission,,40
08/04/2023,1003,Comission,, -   
08/04/2023,1012,Comission,,30
08/04/2023,1010,Comission,, -   
08/04/2023,1009,Comission,,25
08/04/2023,1011,Comission,,45
08/04/2023,1001,Overtime,,30
08/04/2023,1002,Overtime,,30
08/04/2023,1012,Overtime,,10
08/04/2023,1011,Overtime,,10
08/04/2023,1016,Overtime,,70
08/04/2023,0,General Expenses,,10
09/04/2023,1001,Comission,,20
09/04/2023,1002,Comission,,30
09/04/2023,1003,Comission,,15
09/04/2023,1012,Comission,,25
09/04/2023,1011,Comission,,20
09/04/2023,1009,Comission,,20
09/04/2023,1010,Comission,,20
09/04/2023,1013,Comission,,15
09/04/2023,1001,Overtime,,20
09/04/2023,1012,Overtime,,20
09/04/2023,1013,Overtime,,10
09/04/2023,1016,Overtime,,10
09/04/2023,0,General Expenses,,20
10/04/2023,1001,Comission,,30
10/04/2023,1002,Comission,,40
10/04/2023,1003,Comission,,20
10/04/2023,1012,Comission,,25
10/04/2023,1011,Comission,,25
10/04/2023,1009,Comission,,30
10/04/2023,1010,Comission,,25
10/04/2023,1013,Comission,,20
10/04/2023,1001,Overtime,,30
10/04/2023,1003,Overtime,,10
10/04/2023,1012,Overtime,,10
10/04/2023,1013,Overtime,,10
10/04/2023,0,General Expenses,,10
10/04/2023,1013,Overtime,,65
10/04/2023,0,Purchases,,"1,036.00"
11/04/2023,1001,Comission,,10
11/04/2023,1002,Comission,,10
11/04/2023,1003,Comission,,10
11/04/2023,1012,Comission,,5
11/04/2023,1011,Comission,,10
11/04/2023,1013,Comission,,5
11/04/2023,1001,Overtime,,20
11/04/2023,1011,Overtime,,65
11/04/2023,0,General Expenses,,10
12/04/2023,1001,Comission,,35
12/04/2023,1003,Comission,,25
12/04/2023,1012,Comission,,20
12/04/2023,1013,Comission,,25
12/04/2023,1014,Comission,,25
12/04/2023,1015,Comission,,20
12/04/2023,1001,Overtime,,20
12/04/2023,0,General Expenses,,10
12/04/2023,0,General Expenses,,70
12/04/2023,0,General Expenses,,100
13/04/2023,1008,Comission,,290
13/04/2023,1008,Overtime,,260
13/04/2023,1001,Comission,,25
13/04/2023,1005,Comission,,30
13/04/2023,1003,Comission,,15
13/04/2023,0,General Expenses,,10
13/04/2023,1005,Overtime,,10
13/04/2023,1008,Overtime,,10
13/04/2023,0,Bank Fees,,
13/04/2023,0,Bank Fees,,
14/04/2023,0,Bank Fees,,
14/04/2023,1001,Comission,,20
14/04/2023,1002,Comission,,20
14/04/2023,1005,Comission,,30
14/04/2023,0,General Expenses,,10
14/04/2023,0,General Expenses,,15
14/04/2023,0,General Expenses,,70
14/04/2023,0,Bank Fees,,
15/04/2023,1001,Comission,,15
15/04/2023,1002,Comission,,45
15/04/2023,1003,Comission,,25
15/04/2023,1005,Comission,,25
15/04/2023,0,General Expenses,,100
16/04/2023,0,Bank Fees,,
16/04/2023,0,Purchases,,"1,137.00"
16/04/2023,1001,Comission,,15
16/04/2023,1002,Comission,,30
16/04/2023,1003,Comission,,20
16/04/2023,1005,Comission,,15
16/04/2023,0,Advertising Expenses,,700
16/04/2023,0,General Expenses,,10
16/04/2023,0,General Expenses,,20
17/04/2023,1001,Comission,,30
17/04/2023,1002,Comission,,50
17/04/2023,1003,Comission,,30
17/04/2023,1005,Comission,,35
17/04/2023,1008,Overtime,,10
17/04/2023,1005,Overtime,,10
17/04/2023,0,General Expenses,,10
17/04/2023,0,Bank Fees,,
17/04/2023,0,Advertising Expenses,113,
18/04/2023,0,Bank Fees,7.1,
18/04/2023,0,Bank Fees,5.04,
18/04/2023,1001,Comission,,15
18/04/2023,1002,Comission,,20
18/04/2023,1003,Comission,,15
18/04/2023,1005,Comission,,10
18/04/2023,0,General Expenses,,10
18/04/2023,0,General Expenses,,10
19/04/2023,1001,Comission,,20
19/04/2023,1002,Comission,,30
19/04/2023,1003,Comission,,20
19/04/2023,1005,Comission,,15
19/04/2023,0,General Expenses,,108
19/04/2023,1001,Overtime,,15
19/04/2023,1003,Overtime,,10
19/04/2023,1008,Overtime,,10
19/04/2023,0,General Expenses,,10
19/04/2023,0,General Expenses,,285
19/04/2023,0,General Expenses,,"1,400.00"
19/04/2023,0,Bank Fees,8.27,
19/04/2023,0,Bank Fees,5.04,
20/04/2023,0,Bank Fees,4.88,
20/04/2023,0,Bank Fees,3.31,
20/04/2023,1001,Comission,,15
20/04/2023,1002,Comission,,30
20/04/2023,1003,Comission,,20
20/04/2023,1006,Comission,,20
20/04/2023,0,General Expenses,,14
20/04/2023,1003,Salary,,50
20/04/2023,0,Subscribtion,,115
21/04/2023,1001,Comission,,15
21/04/2023,1002,Comission,,15
21/04/2023,1003,Comission,, -   
21/04/2023,1006,Comission,,25
21/04/2023,0,General Expenses,,10
21/04/2023,0,Bank Fees,0.66,
21/04/2023,0,Bank Fees,4.38,
21/04/2023,0,Bank Fees,0.99,
21/04/2023,0,Bank Fees,6.63,
22/04/2023,0,Bank Fees,3.85,
22/04/2023,0,Bank Fees,0.6,
22/04/2023,0,Bank Fees,0.56,
22/04/2023,0,Bank Fees,3.75,
22/04/2023,1001,Comission,,15
22/04/2023,1002,Comission,, -   
22/04/2023,1003,Comission,,20
22/04/2023,1006,Comission,,15
22/04/2023,1001,Overtime,,10
22/04/2023,1003,Overtime,,10
22/04/2023,1006,Overtime,,10
22/04/2023,1008,Overtime,,10
22/04/2023,0,General Expenses,,10
23/04/2023,1001,Comission,,15
23/04/2023,1002,Comission,,20
23/04/2023,1003,Comission,,15
23/04/2023,1006,Comission,, -   
23/04/2023,0,General Expenses,,10
23/04/2023,0,General Expenses,,6
23/04/2023,0,Bank Fees,4.92,
23/04/2023,0,Bank Fees,0.73,
24/04/2023,1001,Comission,,20
24/04/2023,1002,Comission,,30
24/04/2023,1003,Comission,,15
24/04/2023,1006,Comission,,20
24/04/2023,0,Bank Fees,0.77,
24/04/2023,0,Bank Fees,5.08,
24/04/2023,0,General Expenses,,10
